"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.654166646E-5,-6.927088941E-1,4.503926030E-1,-1.894241179E0,2.066603192E0
9.946458335E-3,-5.848969086E-1,5.527495748E-1,-1.599080164E0,1.790165875E0
1.995845833E-2,-3.387541265E-1,5.271244445E-1,-1.017538315E0,1.194989021E0
2.997145833E-2,1.203397181E-1,3.510741368E-1,-3.378895426E-1,5.019004286E-1
3.998345833E-2,5.082729482E-1,4.536211431E-2,4.769053406E-1,6.984538747E-1
4.999645833E-2,6.702490810E-1,-4.965399984E-1,1.114744182E0,1.392278849E0
6.000845833E-2,4.661933877E-1,-9.734058702E-1,1.378804441E0,1.750987421E0
7.002145833E-2,1.574678564E-1,-1.126235130E0,1.307606404E0,1.732927062E0
8.003345833E-2,-2.154858305E-1,-1.007403921E0,9.178298396E-1,1.379749404E0
9.004645833E-2,-4.719149613E-1,-6.819312331E-1,2.983582717E-1,8.813351211E-1
1.000584583E-1,-4.584156407E-1,-1.780965409E-1,-4.667680228E-1,6.780380996E-1
1.100714583E-1,-1.891004891E-1,2.567448074E-1,-9.804868484E-1,1.031034117E0
1.200834583E-1,1.034156833E-1,3.735484949E-1,-9.933109617E-1,1.066255105E0
1.300954583E-1,3.763660488E-1,3.246719116E-1,-6.929470950E-1,8.527830494E-1
1.401084583E-1,5.238600171E-1,3.369706526E-1,-4.275449002E-1,7.554953209E-1
1.501204583E-1,5.193284981E-1,4.163033357E-1,-1.407284474E-1,6.803051170E-1
1.601337083E-1,4.432891861E-1,3.211109573E-1,2.170006979E-1,5.888181827E-1
1.701457083E-1,4.423102161E-1,4.458882004E-2,4.563535470E-1,6.370910845E-1
1.801587083E-1,3.998193770E-1,-1.308641946E-1,4.651109219E-1,6.271436369E-1
1.901707083E-1,2.304281708E-1,-1.161926535E-1,2.758961928E-1,3.777784851E-1
2.001837083E-1,8.448510334E-2,9.638725698E-2,1.467165810E-1,1.948178409E-1
2.101957083E-1,3.095515966E-3,2.921473593E-1,6.277453780E-2,2.988315652E-1
2.202087083E-1,-3.764123149E-2,2.918210846E-1,-1.332808489E-1,3.230173252E-1
2.302207083E-1,-1.700077951E-2,1.077893275E-1,-4.469015229E-1,4.600310172E-1
2.402327083E-1,6.572533518E-2,-5.514245957E-2,-5.918317795E-1,5.980178641E-1
2.502457083E-1,-2.417918690E-2,-5.745883405E-2,-6.292229694E-1,6.323034840E-1
2.602577083E-1,-1.272521503E-1,9.185858846E-2,-4.826853132E-1,5.075590819E-1
2.702707083E-1,-1.687746173E-1,4.616084397E-2,-1.026344222E-1,2.028534436E-1
2.802827083E-1,-1.322416525E-1,-1.679209238E-1,1.334223515E-1,2.519659008E-1
2.902957083E-1,-7.847774707E-2,-2.670727444E-1,2.263410401E-1,3.587713395E-1
3.003077083E-1,1.537061233E-2,-2.784002629E-1,1.403600729E-1,3.121600746E-1
3.103207083E-1,-4.334643289E-2,-1.170595032E-1,-2.908522010E-2,1.281709427E-1
3.203327083E-1,-2.342685124E-1,3.935029954E-2,-1.340304619E-1,2.727532707E-1
3.303457083E-1,-2.027976649E-1,3.042920262E-2,-1.908034176E-1,2.801049328E-1
3.403577083E-1,-1.337019215E-1,-1.012018543E-1,-1.826395351E-1,2.479419668E-1
